geneID,num_UJC,num_UJC_flag_analyzable,num_UJC_unbiased,num_UJC_F_limited,num_UJC_M_limited,num_UJC_F_bias,num_UJC_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0036509,232,7,7,0,0,0,0,1,1,2605,3432,1
FBgn0036510,82,5,5,0,0,0,0,1,1,2164,2547,1
FBgn0036512,28,2,2,0,0,0,0,1,1,1381,1302,1
FBgn0036514,13,2,2,0,0,0,0,1,1,291,281,1
FBgn0036515,138,6,5,0,0,1,0,1,1,2031,1976,1
FBgn0036516,136,6,6,0,0,0,0,1,1,1239,1582,1
FBgn0036518,84,4,3,0,0,0,1,1,1,1092,1444,1
FBgn0036519,22,1,1,0,0,0,0,1,1,359,476,1
FBgn0036520,5,1,0,0,0,0,0,1,1,31,50,1
FBgn0036522,6,1,0,0,0,0,0,1,1,62,84,1
FBgn0036527,2,0,0,0,0,0,0,1,1,1,1,0
FBgn0036528,1,0,0,0,0,0,0,0,1,0,1,0
FBgn0036529,10,2,2,0,0,0,0,1,1,246,256,1
FBgn0036532,79,3,3,0,0,0,0,1,1,246,307,1
FBgn0036534,151,9,8,0,0,0,1,1,1,2088,2823,1
FBgn0036536,17,4,4,0,0,0,0,1,1,167,180,1
FBgn0036537,175,4,2,0,0,2,0,1,1,3652,3728,1
FBgn0036538,136,4,4,0,0,0,0,1,1,2777,2978,1
FBgn0036544,92,8,8,0,0,0,0,1,1,1193,1915,1
FBgn0036545,68,4,3,0,0,0,1,1,1,1378,1628,1
FBgn0036547,66,2,2,0,0,0,0,1,1,5230,4370,1
FBgn0036549,193,7,7,0,0,0,0,1,1,8246,7036,1
FBgn0036550,46,3,2,0,0,0,1,1,1,919,1294,1
FBgn0036551,51,2,2,0,0,0,0,1,1,1941,2137,1
FBgn0036552,12,1,0,0,0,0,0,1,1,50,57,1
FBgn0036553,18,2,2,0,0,0,0,1,1,843,1075,1
FBgn0036556,237,8,8,0,0,0,0,1,1,2874,3460,1
FBgn0036557,66,5,3,0,0,2,0,1,1,1453,1374,1
FBgn0036560,217,7,5,0,0,0,2,1,1,3589,5662,1
FBgn0036563,9,1,0,0,0,0,0,1,1,30,39,1
FBgn0036565,5,0,0,0,0,0,0,1,1,20,20,1
FBgn0036566,209,9,9,0,0,0,0,1,1,1619,1906,1
FBgn0036567,38,1,1,0,0,0,0,1,1,106,161,1
FBgn0036568,2,0,0,0,0,0,0,1,0,4,0,0
FBgn0036569,35,3,2,0,0,1,0,1,1,310,271,1
FBgn0036570,23,3,3,0,0,0,0,1,1,249,206,1
FBgn0036571,121,6,5,0,0,1,0,1,1,996,1019,1
FBgn0036574,10,1,0,0,0,0,0,1,1,83,30,1
FBgn0036575,5,0,0,0,0,0,0,1,1,13,4,1
FBgn0036576,74,7,6,0,0,1,0,1,1,2167,2137,1
FBgn0036577,2,0,0,0,0,0,0,1,0,2,0,0
FBgn0036579,116,5,4,0,0,0,1,1,1,1991,2774,1
FBgn0036580,92,6,5,0,0,1,0,1,1,2257,2280,1
FBgn0036581,66,3,3,0,0,0,0,1,1,3230,3243,1
FBgn0036583,3,1,1,0,0,0,0,1,1,116,159,1
FBgn0036584,2,1,1,0,0,0,0,1,1,52,95,1
FBgn0036585,13,2,2,0,0,0,0,1,1,131,184,1
FBgn0036587,22,1,1,0,0,0,0,1,1,980,694,1
FBgn0036588,2,1,0,0,0,0,0,1,1,17,47,1
FBgn0036589,14,2,2,0,0,0,0,1,1,560,683,1
FBgn0036590,2,0,0,0,0,0,0,1,1,6,4,1
FBgn0036592,2,0,0,0,0,0,0,0,1,0,4,0
FBgn0036594,3,0,0,0,0,0,0,1,1,10,20,1
FBgn0036595,2,0,0,0,0,0,0,1,1,4,1,0
FBgn0036597,5,2,2,0,0,0,0,1,1,113,175,1
FBgn0036598,6,0,0,0,0,0,0,1,1,2,11,1
FBgn0036599,1,0,0,0,0,0,0,1,1,2,4,0
FBgn0036600,1,0,0,0,0,0,0,1,1,5,12,1
FBgn0036602,9,0,0,0,0,0,0,1,1,9,4,1
FBgn0036603,2,0,0,0,0,0,0,1,1,13,1,1
FBgn0036605,3,0,0,0,0,0,0,1,1,32,22,1
FBgn0036606,4,0,0,0,0,0,0,1,1,15,34,1
FBgn0036607,8,2,2,0,0,0,0,1,1,90,112,1
FBgn0036608,1,0,0,0,0,0,0,1,0,3,0,0
FBgn0036609,1,0,0,0,0,0,0,0,1,0,2,0
FBgn0036610,17,0,0,0,0,0,0,1,1,10,15,1
FBgn0036612,1,0,0,0,0,0,0,1,0,2,0,0
FBgn0036614,51,4,4,0,0,0,0,1,1,382,406,1
FBgn0036617,1,0,0,0,0,0,0,1,1,2,7,0
FBgn0036618,3,0,0,0,0,0,0,1,1,6,6,1
FBgn0036619,105,4,4,0,0,0,0,1,1,4776,5159,1
FBgn0036620,198,7,7,0,0,0,0,1,1,4668,3704,1
FBgn0036621,88,5,5,0,0,0,0,1,1,711,718,1
FBgn0036622,64,6,4,0,0,2,0,1,1,1070,587,1
FBgn0036623,395,8,5,0,0,3,0,1,1,7096,5787,1
FBgn0036624,52,4,3,0,0,1,0,1,1,165,172,1
FBgn0036627,8,1,1,0,0,0,0,1,1,248,261,1
FBgn0036629,270,10,9,0,0,0,1,1,1,856,1210,1
FBgn0036640,22,1,0,0,0,0,0,1,1,43,57,1
FBgn0036641,7,1,1,0,0,0,0,1,1,658,842,1
FBgn0036643,58,3,3,0,0,0,0,1,1,2162,2630,1
FBgn0036646,29,4,4,0,0,0,0,1,1,149,155,1
FBgn0036648,39,2,2,0,0,0,0,1,1,281,321,1
FBgn0036652,44,1,1,0,0,0,0,1,1,606,773,1
FBgn0036654,1,0,0,0,0,0,0,0,1,0,1,0
FBgn0036655,4,0,0,0,0,0,0,1,1,9,1,1
FBgn0036656,23,2,2,0,0,0,0,1,1,419,458,1
FBgn0036659,84,5,5,0,0,0,0,1,1,2761,2634,1
FBgn0036661,117,6,6,0,0,0,0,1,1,1810,2086,1
FBgn0036662,65,5,4,0,0,1,0,1,1,1042,808,1
